fulltitle,year_x,rank_x,title_x,artist_x,title_lower,date,year_y,title_y,simple_title,artist_y,main_artist,peak_pos,last_pos,weeks,rank_y,change,spotify_link,spotify_id,video_link,genre,broad_genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,lyrics
1.Rolling in the Deep- Adele,2010,1,Rolling in the Deep, Adele,rolling in the deep,4/14/12,2012.0,Rolling In The Deep,rolling in the deep,adele,adele,1.0,43.0,65.0,49.0,-6,https://embed.spotify.com/?uri=spotify:track:1CkvWZme3pRgbzaxZnTl5X,1CkvWZme3pRgbzaxZnTl5X,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=GB1411000094,[u'pop'],pop,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,0.756,0.0527,104.945,0.0294,0.131,0,4,0.729,8,228293,-5.119,0.522,1,"There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your ship bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bring me out the dark
The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Baby, I have no story to be told
But I've heard one on you and I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there as mine sure won't be shared
(You're gonna wish you never had met me)
The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep)
They keep me thinking that we almost had it all
(You're gonna wish you never had met me)
The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep)
I can't help feeling
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Could have had it all
Rolling in the deep
You had my heart inside of your hands
But you played it with a beating
Throw your soul through every open door
Count your blessings to find what you look for
Turn my sorrow into treasured gold
You'll pay me back in kind and reap just what you've sown
(You're gonna wish you never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
It all, it all, it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
But you played it
You played it
You played it
You played it to the beat"
3.Pumped Up Kicks- Foster the People,2010,3,Pumped Up Kicks, Foster the People,pumped up kicks,2/11/12,2012.0,Pumped Up Kicks,pumped up kicks,foster the people,foster the people,3.0,42.0,40.0,49.0,-7,https://embed.spotify.com/?uri=spotify:track:7w87IxuO7BDcJ3YUqCyMTT,7w87IxuO7BDcJ3YUqCyMTT,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USSM21001718,"[u'indie pop', u'indietronica', u'la indie', u'modern rock']",rock,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,0.71,0.0956,127.975,0.0292,0.145,0.115,4,0.733,5,239600,-5.849,0.965,0,"Robert's got a quick hand
He'll look around the room he won't tell you his plan
He's got a rolled cigarette
Hanging out his mouth, he's a cowboy kid
Yeah, he found a six shooter gun
In his dad's closet, in a box of fun things
And I don't even know what
But he's coming for you, yeah, he's coming for you
All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run faster than my bullet
All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run faster than my bullet
Daddy works a long day
He's coming home late, yeah, he's coming home late
And he's bringing me a surprise
Cause dinner's in the kitchen and it's packed in ice
I've waited for a long time
Yeah, the slight of my hand is now a quick pull trigger
I reason with my cigarette
Then say your hair's on fire
You must have lost your wits, yeah
All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run faster than my bullet
All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run faster than my bullet
All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run faster than my bullet
All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run faster than my bullet
All the other kids with the pumped up kicks
You better run, better run, outrun my gun
All the other kids with the pumped up kicks
You better run, better run faster than my bullet"
4.Just the Way You Are- Bruno Mars,2010,4,Just the Way You Are, Bruno Mars,just the way you are,7/2/11,2011.0,Just The Way You Are,just the way you are,bruno mars,bruno mars,1.0,44.0,48.0,48.0,-4,https://embed.spotify.com/?uri=spotify:track:73jaFtFoEMk1iHpnW6KG50,73jaFtFoEMk1iHpnW6KG50,https://embed.vevo.com?partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&autoplay=true&isrc=USEV11000005,"[u'dance pop', u'pop', u'post-teen pop']",pop,https://api.spotify.com/v1/audio-analysis/73jaFtFoEMk1iHpnW6KG50,0.843,0.0876,109.012,0.0432,0.0151,0,4,0.637,5,220733,-5.413,0.434,1,"Oh, her eyes, her eyes
Make the stars look like they're not shinin'
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her everyday
Yeah, I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she don't see what I see
But every time she asks me, do I look okay
I say
When I see your face
There is not a thing that I would change
'Cause you're amazing
Just the way you are
And when you smile
The whole world stops and stares for a while
